key;comment;text
campaign_seaLife_detail_page1_description;Description of the first page in the SeaLife detail screen;Do you love the underwater world? Push and pledge – Become a Sea Life Friend!
campaign_seaLife_detail_page2_description;Description of the second page in the SeaLife detail screen;Are you curious to learn how you can help to save the ocean’s rare and beautiful sea animals?
campaign_seaLife_detail_page3_description;Description of the third page in the SeaLife detail screen;I promise to do my best to take care of the sea and all life inside it.
campaign_seaLife_detail_action_yes;Text on action button in first 2 SeaLife detail pages;Yes!
campaign_seaLife_detail_action_push_pledge;Pledge action label;Push & Pledge
campaign_seaLife_celebration_description;"The description right below the ""Awesome"" label on the celebration screen";Thank you for being a Sea Life Friend.
campaign_seaLife_celebration_label;The badge label shown on the celebration screen;Sea life friend
campaign_seaLife_celebration_question;Question before clicking the action on the celebration screen;Ready to get started?
campaign_seaLife_celebration_action;Action on the celebration screen;To the sea
campaign_seaLife_celebration_redoAction;Title of the second action button on SeaLife celebration screen;Release More!
campaign_seaLife_celebration_releaseAnimation_text;Text displayed on the happy fish animation screen;Thanks for\nbeing awesome!
campaign_seaLife_badgeDetail_redoAction;Title of the second action button when user goes to detail of sealife badge;Release a Creature!
campaign_seaLife_fishSetup_fishDescription;Description above fish selector on Fish setup screen;Choose a Sea Life animal you want to release onto the LEGO® Reef
campaign_seaLife_fishSetup_nameDescription;Description above name textfield on Fish setup screen;Name your Sea Life animal.
campaign_seaLife_fishSetup_action;Title of the bottom action button on Fish setup screen;Release!
campaign_seaLife_fishName_blobfish;Name of sea creature, displayed on fish release screen when creature is selected;Blobfish
campaign_seaLife_fishName_yellowCoralGoby;Name of sea creature, displayed on fish release screen when creature is selected;Yellow Coral Goby 
campaign_seaLife_fishName_copperbandButterflyfish;Name of sea creature, displayed on fish release screen when creature is selected;Copperband Butterflyfish
campaign_seaLife_fishName_turtle;Name of sea creature, displayed on fish release screen when creature is selected;Turtle
campaign_seaLife_fishName_octopus;Name of sea creature, displayed on fish release screen when creature is selected;Octopus
campaign_seaLife_fishName_dolphin;Name of sea creature, displayed on fish release screen when creature is selected;Dolphin
campaign_seaLife_fishName_narwhal;Name of sea creature, displayed on fish release screen when creature is selected;Narwhal
campaign_seaLife_fishName_shark;Name of sea creature, displayed on fish release screen when creature is selected;Shark
campaign_seaLife_fishName_seahorse;Name of sea creature, displayed on fish release screen when creature is selected;Seahorse
campaign_seaLife_fishName_sealion;Name of sea creature, displayed on fish release screen when creature is selected;Sea Lion
campaign_hiddenSide_feed_item_title;Feed - Label for the Hidden Side campaign CTA on the Feed - this copy will appear in two lines every time.;DARE TO LOOK FOR\nHIDDEN THINGS?
campaign_hiddenSide_detail_title;Intro screen - screen title;Hidden Side
campaign_hiddenSide_detail_page1_question;Intro screen - Question on the intro screen;DARE TO LOOK FOR HIDDEN THINGS?
campaign_hiddenSide_detail_page1_desc;Intro screen - short hint for the kids;Take part in Hidden Side challenges to unlock awesome halloween theme for a limited time.
campaign_hiddenSide_detail_page1_action;Intro screen - green button label;Let's go!
campaign_hiddenSide_detail_page2_question;Jump scare screen - another question like hint for the kids as a reminder that they need to take part in a challenge;DARE TO TAKE PART IN HIDDEN SIDE CHALLENGES?
campaign_hiddenSide_detail_page2_action;Jump scare screen - green button label;Yes!
campaign_hiddenSide_celebration_desc;Celebration screen - Description;You have finished a Hidden Side challenge, you are a fearless Ghost Hunter.
campaign_hiddenSide_badge_label;Celebration screen - Badge label;Ghost Hunter
campaign_hiddenSide_badge_desc;Badge detail screen - badge detail description;You’ve earned the Ghost Hunter Badge!
getYourParentScreen_screenTitle;Get your parents screen title;Almost there
getYourParentScreen_heading;Get your parents!;Go get a parent!
getYourParentScreen_description;"Kids can read the screen content and after that they need to grab their parents.";To share creations, comment and make friends you need a LEGO® Account.\nGet your parents to help set up the account.\n\nLEGO Life is a safe online community for children.
getYourParentScreen_benefit_1;LEGO Life safety benefits;Accounts are anonymous
getYourParentScreen_benefit_2;LEGO Life safety benefits;Content and comments are moderated
getYourParentScreen_benefit_3;LEGO Life safety benefits;Creations are moderated
getYourParentScreen_button_title_parent;The parent can select this in case they don't have an account.;I'M A PARENT!
getYourParentScreen_button_title_account;The parent can select this in case they already have an account.;I HAVE AN ACCOUNT
CFBundleDisplayName;The name of the App;LEGO® Life
CFBundleName;The name of the App;LEGO® Life
NSCameraUsageDescription;iOS Only. iOS camera permissions: OS system level permissions prompt. This key will be converted into NSCameraUsageDescription and used in the InfoPlist.strings files;Enables you to take photos of your awesome creations and share them.
NSPhotoLibraryUsageDescription;iOS Only. iOS photo library permissions: OS system level permissions prompt. This key will be converted into NSPhotoLibraryUsageDescription and used in the InfoPlist.strings files;Enables you decorate and share your own photos.
reportingScreen_commentGuidingQuestion;Reporting screen guiding question;What’s wrong with this comment?
reportDialog_comment_reason_1;Comment reporting screen, option 1;It is inappropriate or not suitable for children
reportDialog_comment_reason_2;Comment reporting screen, option 2;It is hurtful or mean
reportDialog_comment_reason_3;Comment reporting screen, option 3;Spam alert! It is junk that has been posted several times
reportDialog_comment_reason_4;Comment reporting screen, option 4;It is in a foreign language
reportDialog_comment_reason_5;Comment reporting screen, option 5;Other reason
actionSheet_report_button;iOS style action sheet button;Report
actionSheet_cancel_button;iOS style action sheet button;Cancel
actionSheet_delete_button;iOS style action sheet button;Delete
NSScanSetTitle;iOS Only: This string is used for InfoPlist.strings on NSScanSetTitle for 3D Touch;Scan
commentCell_reported_placeholder_text;Placeholder when a comment was reported;You have reported this comment. Our moderator will have a look at it.
infoBanner_operatingSystem_title;Operating system info banner title;Important!
infoBanner_operatingSystem_description;Operating system info banner description;<b>Please update to (%s) to start using the latest version of LEGO® Life. </b>The current version will continue to run on your device, but you will not receive any more updates.
infoBanner_appUpdate_title;App update info banner title;New Update Available
infoBanner_appUpdate_description;App update info banner description;A new version of LEGO® Life is ready for you! Please visit your app store to update.
infoBanner_appUpdate_buttonTitle;App update info banner button title;Update!
infoBanner_appUpdateComplete_title;App update complete info banner title;Important Announcement
infoBanner_appUpdateComplete_description;App update complete info banner description;Your LEGO Life application is up to date. Once you hit reload, the new features are ready for you to explore!
infoBanner_appUpdateComplete_buttonTitle;App update complete info banner button title;Reload!
feedList_empty_group_videos_list;Placeholder text for a empty list of videos;This group has no videos yet
feedList_empty_group_buildIdeas_list;Placeholder text for a empty list of build ideas;This group has no Build Ideas yet
feedList_empty_group_challenges_list;Placeholder text for a empty list of challenges;This group has no challenges yet
feedList_empty_group_list;Default placeholder text for a empty list;Sorry, we can't find that anywhere!
delete_confirmation_popup_delete_comment_title;Title for the delete confirmation popup when deleting a comment;Delete your comment?
comment_deleted;Comment deleting confirmation popup;Comment deleted
delete_confirmation_popup_delete_comment_description;Description for the delete confirmation popup when deleting a comment;Wait! Are you sure you want to delete your comment?
delete_confirmation_popup_delete_album_title;Title for the delete confirmation popup when deleting an album;Delete your creation?
delete_confirmation_popup_delete_album_description;Description for the delete confirmation popup when deleting an album;Wait! Do you want to delete this piece of awesomeness?
favoriting_snackbar_description_removed;Pop-up description notifying the user that the post was removed from the Favourites list;Removed from favourites.
favoriting_snackbar_description_added;Pop-up description notifying the user that the post was added to the Favourites list;Added to favourites.
profileScreen_favorites_title;Favourites list title on profile tab;Favourites
profileScreen_favorites_noContent_descriptionBottom;Favourites list empty state description on profile tab;Add cool stuff from the feed to your favourites by clicking the star icon so you can find it here later!
build_ideas_detail_gather_step;The title of the Gather the bricks step;Gather the bricks
build_ideas_detail_build_step;The title of the Build step;Build
build_ideas_detail_share_step;The title of the Share step;Share your build!
build_ideas_detail_action_button;The title of the action button;Let’s go!
build_ideas_detail_related_header;The header of the releated build ideas feed;Builds by others
build_ideas_detail_commenting_label;The title of the commenting button;Something to say
feed_hanger_header_build_ideas;The header title of the build ideas hanger in the feed;Build Ideas
build_ideas_notification;Text for a Build Ideas Notification;Have you seen this Build Idea for the set you just added?
vpc_incentive_screen_title_favorite_posts_new;Title for new feature where the user can mark posts as favorites.;New feature
vpc_incentive_screen_description_favorite_posts_new;Description for new feature where the user can mark posts as favorites.;Save cool posts to your favorite list by giving them a star!
vpc_incentive_screen_title_even_safer;Title for screen telling the kids to have their parents validate their account to improve safety.;We’re making your account even safer
vpc_incentive_screen_description_even_safer;Description for screen telling the kids to have their parents validate their account to improve safety.;Get your parents’ help so you can keep uploading images and commenting!
vpc_incentive_screen_title_upload_photos;Title for a feature where users can upload photos;Features include
vpc_incentive_screen_description_upload_photos;Description for a feature where users can upload photos;Upload photos of your awesome LEGO builds to share with other creators!
vpc_incentive_screen_title_comment_posts;Title for a feature where users can comment on posts;Features include
vpc_incentive_screen_description_comment_posts;Description for a feature where users can comment on posts;Comment on posts!
vpc_incentive_screen_title_favorite_posts;Title for new feature where the user can mark posts as favorites;Features include
vpc_incentive_screen_description_favorite_posts;Description for new feature where the user can mark posts as favorites.;Save cool posts to your favorite list by giving them a star!
vpc_incentive_screen_title_unlock_features;Title for screen telling the kids to have their parents validate their account to improve safety;Unlock all features
vpc_incentive_screen_description_unlock_features;Description for screen telling the kids to have their parents validate their account to improve safety;Get your parents’ help to start uploading images and commenting!
vpc_incentive_screen_button_upgrade_account;Link to click if the user already have an account;Upgrade account
vpc_incentive_screen_already_have_account;Button text on the button to upgrade account;Already have a verified account?
campaign_winter_feed_snowFalling_notification;Snow falling notification description(max 50 charachters);Shake your device and let it snow.
scanning_missingProduct_popup_title;Title for the scanning popup for early products;You’re lucky!
scanning_missingProduct_popup_topDesc;Scanning pop up 1st part of the description;We’re still a few days away from the OFFICIAL launch date of this set, but you managed to get your hands on it.
scanning_missingProduct_popup_bottomDesc;Scanning pop up 2nd part of the description;Please come back to register your set from <b>January 1st 2020</b>. Until then, enjoy building!
